t=2026-05-04T00:36:31+0530 lvl=info msg="no configuration paths supplied"
t=2026-05-04T00:36:31+0530 lvl=info msg="using configuration at default config path" path="/Users/parth/Library/Application Support/ngrok/ngrok.yml"
t=2026-05-04T00:36:31+0530 lvl=info msg="open config file" path="/Users/parth/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-05-04T00:43:48+0530 lvl=info msg="join connections" obj=join id=107f8afacbd2 l=[::1]:5173 r=[2a09:bac3:3b78:277d::3ef:64]:27246
t=2026-05-04T00:43:48+0530 lvl=info msg="join connections" obj=join id=a7788647800f l=[::1]:5173 r=[2a09:bac3:3b78:277d::3ef:64]:27246
t=2026-05-04T00:43:48+0530 lvl=info msg="join connections" obj=join id=82e0867dd497 l=[::1]:5173 r=[2a09:bac3:3b78:277d::3ef:64]:27246
t=2026-05-04T00:43:48+0530 lvl=info msg="join connections" obj=join id=9da83f8bb044 l=[::1]:5173 r=[2a09:bac3:3b78:277d::3ef:64]:27246
t=2026-05-04T00:43:48+0530 lvl=info msg="join connections" obj=join id=c16e3e182818 l=[::1]:5173 r=[2a09:bac3:3b78:277d::3ef:64]:27246
t=2026-05-04T00:43:48+0530 lvl=info msg="join connections" obj=join id=2f397f6f570a l=[::1]:5173 r=[2a09:bac3:3b78:277d::3ef:64]:27246
t=2026-05-04T00:43:48+0530 lvl=info msg="join connections" obj=join id=1a8c734c56fc l=[::1]:5173 r=[2a09:bac2:3b7a:277d::3ef:18]:52448
t=2026-05-04T00:43:48+0530 lvl=info msg="join connections" obj=join id=5d1ff6a79247 l=[::1]:5173 r=[2a09:bac3:3b78:277d::3ef:64]:27246
t=2026-05-04T00:44:18+0530 lvl=info msg="join connections" obj=join id=8f5d47d2f60f l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:4000:0:a]:49843
t=2026-05-04T00:44:18+0530 lvl=info msg="join connections" obj=join id=bf076107f25b l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:4000:0:a]:11842
t=2026-05-04T00:44:19+0530 lvl=info msg="join connections" obj=join id=6f19836e64f9 l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:4000:0:a]:49843
t=2026-05-04T00:44:19+0530 lvl=info msg="join connections" obj=join id=0f516988ba0d l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:4000:0:a]:49843
t=2026-05-04T00:44:19+0530 lvl=info msg="join connections" obj=join id=917e4977c828 l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:4000:0:a]:49843
t=2026-05-04T00:44:19+0530 lvl=info msg="join connections" obj=join id=497fa40e3392 l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:4000:0:a]:49843
t=2026-05-04T00:44:19+0530 lvl=info msg="join connections" obj=join id=3f5cccaa30a0 l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:4000:0:a]:49843
t=2026-05-04T00:44:19+0530 lvl=info msg="join connections" obj=join id=58ae3e73cb7e l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:4000:0:a]:49843
t=2026-05-04T00:44:19+0530 lvl=info msg="join connections" obj=join id=e7804e58beaa l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:4000:0:a]:49843
